example_id,protein_id,affinity_record,source_benchmark,benchmark_split,measurement_family,normalization_provenance
1b4h,1b4h,Kd=3.44uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b4z,1b4z,Kd=5900nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b51,1b51,Kd=43nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b52,1b52,Kd=76nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b55,1b55,Kd=40nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b57,1b57,Ki=0.01uM,lp_pdbbind_refined,val,Ki,lp_pdbbind_refined_compact_record
1b58,1b58,Kd=260nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b5h,1b5h,Kd=0.97uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b5i,1b5i,Kd=90nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b5j,1b5j,Kd=37nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b6h,1b6h,Kd=0.015uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b6j,1b6j,Ki=12nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1b6k,1b6k,Ki=1.8nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1b6l,1b6l,Ki=5nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1b7h,1b7h,Kd=0.0095uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1b8n,1b8n,Ki=30pM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1b8o,1b8o,Ki=23pM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1b8y,1b8y,Ki=14nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1b9j,1b9j,Kd=1100nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1bai,1bai,Ki=20nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bcd,1bcd,Ki=2nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1bdq,1bdq,Ki=0.46uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bgq,1bgq,Kd=2.7nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1bhf,1bhf,Kd=42uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1bhx,1bhx,Ki=0.145uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bju,1bju,Ki=16uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bjv,1bjv,Ki=2.9uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bm7,1bm7,Kd=30nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1bma,1bma,Ki=26uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bn1,1bn1,Kd=0.46nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bn3,1bn3,Kd=0.13nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bn4,1bn4,Kd=0.49nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bnn,1bnn,Kd=0.10nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bnq,1bnq,Kd=0.32nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bnt,1bnt,Kd=0.16nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bnu,1bnu,Kd=0.20nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bnv,1bnv,Kd=1.70nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bnw,1bnw,Kd=0.83nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1bp0,1bp0,Kd=4.0uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1bq4,1bq4,Ki=6uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1br6,1br6,Ki=0.6mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bty,1bty,Ki=18.4uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1bv7,1bv7,Ki=0.05nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bv9,1bv9,Ki=0.11nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bwa,1bwa,Ki=2.5nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bwb,1bwb,Ki=3.8nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bxo,1bxo,Ki=0.10nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bxq,1bxq,Ki=42nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bxr,1bxr,Ki=0.4mM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1bzj,1bzj,Ki=22uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1bzy,1bzy,Kd=4.6nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1c1r,1c1r,Ki=0.0235uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c1u,1c1u,Ki=0.0056uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c1v,1c1v,Ki=0.023uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c3x,1c3x,Ki=210uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1c4u,1c4u,Ki=0.043nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5c,1c5c,Kd=110nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1c5n,1c5n,Ki=20uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5o,1c5o,Ki=320uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5p,1c5p,Ki=21uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5q,1c5q,Ki=0.44uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5s,1c5s,Ki=1.0uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5t,1c5t,Ki=80uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1c5x,1c5x,Ki=0.21uM,lp_pdbbind_refined,unspecified,Ki,lp_pdbbind_refined_compact_record
1c5y,1c5y,Ki=63uM,lp_pdbbind_refined,unspecified,Ki,lp_pdbbind_refined_compact_record
1c70,1c70,Ki=0.05nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1c83,1c83,Ki=14uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1c84,1c84,Ki=9.9uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1c86,1c86,Ki=20uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1c87,1c87,Ki=63uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1c88,1c88,Ki=5.1uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1cbx,1cbx,Ki=0.45uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ceb,1ceb,Kd=1uM,lp_pdbbind_refined,unspecified,Kd,lp_pdbbind_refined_compact_record
1cet,1cet,Ki=1.3mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1cgl,1cgl,Ki=0.135uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ciz,1ciz,Ki=36nM,lp_pdbbind_refined,val,Ki,lp_pdbbind_refined_compact_record
1cnw,1cnw,Kd=19nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1cnx,1cnx,Kd=43nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1cny,1cny,Kd=14nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1cps,1cps,Ki=0.22uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ctt,1ctt,Ki=30uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ctu,1ctu,Ki=1.2pM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d09,1d09,Ki=27nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d2e,1d2e,Kd=1uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1d3d,1d3d,Kd=0.81nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1d3p,1d3p,Kd=41nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1d4h,1d4h,Ki=0.10nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d4i,1d4i,Ki=1.40nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d4j,1d4j,Ki=4.40nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d4k,1d4k,Ki=0.6nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d4l,1d4l,Ki=1.7nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d4p,1d4p,Kd=0.5uM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1d4y,1d4y,Ki=0.008nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1d6v,1d6v,Kd=670nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1d6w,1d6w,Ki=1100nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1d7i,1d7i,Kd=250uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1d7j,1d7j,Kd=500uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1d9i,1d9i,Ki=0.78nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1dar,1dar,Kd=11uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1det,1det,Kd=50uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1df8,1df8,Kd=0.20nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1dgm,1dgm,Ki=8.9uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1dhi,1dhi,Kd=55nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1dhj,1dhj,Kd=281nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1dif,1dif,Ki=22pM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1dl7,1dl7,Kd=0.32uM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1dmp,1dmp,Ki=0.28nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1dqn,1dqn,Ki=10nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1drj,1drj,Kd=0.040uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1drk,1drk,Kd=0.15uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1drv,1drv,Kd=0.29uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1dud,1dud,Ki=15uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1duv,1duv,Kd=1.6pM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1dy4,1dy4,Ki=44uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1dzk,1dzk,Kd=0.8uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1e1v,1e1v,Ki=12uM,lp_pdbbind_refined,unspecified,Ki,lp_pdbbind_refined_compact_record
1e1x,1e1x,Ki=1.3uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1e2k,1e2k,Ki=11.4uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1e2l,1e2l,Ki=51.5uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1e3g,1e3g,Kd=0.99nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1e3v,1e3v,Kd=45.74uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1e4h,1e4h,Kd=3.9nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1e5j,1e5j,Ki=100uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1e6q,1e6q,Ki=0.7mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1e6s,1e6s,Ki=0.6mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1eb2,1eb2,Ki=980nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1ebw,1ebw,Ki=0.90nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ebz,1ebz,Ki=0.40nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ec0,1ec0,Ki=3.2nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ec1,1ec1,Ki=1.20nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ec2,1ec2,Ki=0.10nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ec3,1ec3,Ki=0.92nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ec9,1ec9,Ki=0.8mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ecq,1ecq,Ki=1.0mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ecv,1ecv,Ki=14uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1efy,1efy,Ki=6nM,lp_pdbbind_refined,val,Ki,lp_pdbbind_refined_compact_record
1egh,1egh,Ki=2uM,lp_pdbbind_refined,val,Ki,lp_pdbbind_refined_compact_record
1ejn,1ejn,Ki=2.4uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1ela,1ela,Ki=0.44uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1elb,1elb,Ki=70nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1elc,1elc,Ki=0.22uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1eld,1eld,Ki=0.20uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ele,1ele,Ki=0.14uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1elr,1elr,Kd=11uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1enu,1enu,Ki=8.3uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1eoc,1eoc,Ki=0.9uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1epo,1epo,Ki=11nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1erb,1erb,Kd=8nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1ew8,1ew8,Ki=5.5mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ew9,1ew9,Ki=0.6mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ex8,1ex8,Kd=0.47uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1ez9,1ez9,Kd=8uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1ezq,1ezq,Ki=0.9nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f0r,1f0r,Ki=22nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f0s,1f0s,Ki=18nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f0t,1f0t,Ki=1000nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f0u,1f0u,Ki=69nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f3e,1f3e,Ki=0.2uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f4e,1f4e,Ki=1.1mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f4f,1f4f,Ki=24uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f4g,1f4g,Ki=330nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f4x,1f4x,Kd=2.6uM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1f57,1f57,Ki=2.3uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f5k,1f5k,Ki=180uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f5l,1f5l,Ki=5.3uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1f73,1f73,Ki=4.1mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f74,1f74,Ki=0.9mM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f8b,1f8b,Ki=4.0uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f8c,1f8c,Ki=0.04uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f8d,1f8d,Ki=400uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1f8e,1f8e,Ki=15uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fao,1fao,Kd=0.043uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fch,1fch,Kd=70nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fcx,1fcx,Kd=64nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fcy,1fcy,Kd=3nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fcz,1fcz,Kd=0.6nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fd0,1fd0,Kd=4nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fh7,1fh7,Ki=5.8uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fh8,1fh8,Ki=0.13uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fh9,1fh9,Ki=0.37uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fhd,1fhd,Ki=0.15uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fiv,1fiv,Ki=260nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fjs,1fjs,Ki=0.11nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fkb,1fkb,Kd=0.2nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fkf,1fkf,Kd=0.4nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fkg,1fkg,Ki=10nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fkh,1fkh,Ki=7nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fki,1fki,Ki=100nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fkn,1fkn,Ki=1.6nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1fkw,1fkw,Ki=9uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fl3,1fl3,Kd=0.16uM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1flr,1flr,Kd=0.1nM,lp_pdbbind_refined,val,Kd,lp_pdbbind_refined_compact_record
1fm9,1fm9,Ki=1nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fo0,1fo0,Kd=2.6uM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fpc,1fpc,Ki=0.1uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1fq5,1fq5,Ki=4.0nM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1ft7,1ft7,Ki=6.6uM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
1ftm,1ftm,Kd=24.8nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1fv0,1fv0,Ki=1.18uM,lp_pdbbind_refined,train,Ki,lp_pdbbind_refined_compact_record
1fzj,1fzj,Kd=8nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fzk,1fzk,Kd=4nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fzm,1fzm,Kd=20nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fzo,1fzo,Kd=13nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1fzq,1fzq,Kd=24nM,lp_pdbbind_refined,train,Kd,lp_pdbbind_refined_compact_record
1g1d,1g1d,Kd=0.36nM,lp_pdbbind_refined,test,Kd,lp_pdbbind_refined_compact_record
1g2l,1g2l,Ki=57nM,lp_pdbbind_refined,test,Ki,lp_pdbbind_refined_compact_record
